
                             _V:V1 PI: PART-1-
                  X                1 N: 4     
              823.E-06           234.06       
              824.E-06           234.023      
              825.E-06           233.983      
              826.E-06           233.938      
              827.E-06           233.892      
              828.E-06           233.849      
              829.E-06           233.809      
              830.E-06           233.772      
              831.E-06           233.741      
              832.E-06           233.718      
              833.E-06           233.702      
              834.E-06           233.691      
              835.E-06           233.686      
              836.E-06           233.688      
              837.E-06           233.699      
              838.E-06           233.72       
              839.E-06           233.752      
              840.E-06           233.797      
              841.E-06           233.857      
              842.E-06           233.929      
              843.E-06           234.009      
              844.E-06           234.097      
              845.E-06           234.198      
              846.E-06           234.314      
              847.E-06           234.447      
              848.E-06           234.601      
              849.E-06           234.783      
              850.E-06           235.004      
              851.E-06           235.275      
              852.E-06           235.592      
              853.E-06           235.928      
              854.E-06           236.245      
              855.E-06           236.508      
              856.E-06           236.705      
              857.E-06           236.848      
              858.E-06           236.949      
              859.E-06           237.005      
              860.E-06           236.999      
              861.E-06           236.915      
              862.E-06           236.755      
              863.E-06           236.599      
              864.E-06           236.574      
              865.E-06           236.66       
              866.E-06           236.676      
              867.E-06           236.478      
              868.E-06           236.033      
              869.E-06           235.537      
              870.E-06           235.284      
              871.E-06           235.19       
              872.E-06           235.04       
              873.E-06           235.04       
              874.E-06           235.384      
              875.E-06           235.9        
              876.E-06           236.525      
              877.E-06           237.007      
              878.E-06           236.794      
              879.E-06           235.601      
              880.E-06           234.315      
              881.E-06           234.479      
              882.E-06           234.897      
              883.E-06           233.853      
              884.E-06           232.582      
              885.E-06           233.184      
              886.E-06           233.26       
              887.E-06           232.205      
              888.E-06           232.253      
              889.E-06           231.847      
              890.E-06           229.921      
              891.E-06           229.779      
              892.E-06           229.304      
              893.E-06           227.964      
              894.E-06           228.018      
              895.E-06           227.208      
              896.E-06           227.231      
              897.E-06           227.272      
              898.E-06           226.466      
              899.E-06           226.447      
              900.E-06           225.57       
              901.E-06           224.981      
              902.E-06           224.263      
              903.E-06           223.528      
              904.E-06           222.943      
              905.E-06           222.355      
              906.E-06           221.958      
              907.E-06           221.4        
              908.E-06           221.063      
              909.E-06           220.52       
              910.E-06           220.352      
              911.E-06           219.904      
              912.E-06           219.611      
              913.E-06           219.199      
              914.E-06           218.897      
              915.E-06           218.469      
              916.E-06           217.95       
              917.E-06           217.44       
              918.E-06           217.02       
              919.E-06           216.626      
              920.E-06           216.119      
              921.E-06           215.672      
              922.E-06           215.225      
              923.E-06           214.883      
              924.E-06           214.454      
              925.E-06           213.942      
              926.E-06           213.4        
              927.E-06           213.077      
              928.E-06           212.89       
              929.E-06           212.741      
              930.E-06           212.502      
              931.E-06           212.333      
              932.E-06           212.248      
              933.E-06           212.136      
              934.E-06           212.188      
              935.E-06           212.697      
              936.E-06           213.691      
              937.E-06           214.851      
              938.E-06           215.813      
              939.E-06           216.663      
              940.E-06           217.579      
              941.E-06           218.441      
              942.E-06           219.303      
              943.E-06           220.222      
              944.E-06           221.18       
              945.E-06           222.19       
              946.E-06           223.238      
              947.E-06           224.341      
              948.E-06           225.478      
              949.E-06           226.549      
              950.E-06           227.414      
              951.E-06           227.978      
              952.E-06           228.27       
              953.E-06           228.404      
              954.E-06           228.517      
              955.E-06           228.686      
              956.E-06           228.927      
              957.E-06           229.225      
              958.E-06           229.59       
              959.E-06           230.038      
              960.E-06           230.532      
              961.E-06           230.981      
              962.E-06           231.314      
              963.E-06           231.514      
              964.E-06           231.623      
              965.E-06           231.717      
              966.E-06           231.876      
              967.E-06           232.138      
              968.E-06           232.54       
              969.E-06           233.163      
              970.E-06           234.1        
              971.E-06           235.314      
              972.E-06           236.521      
              973.E-06           237.231      
              974.E-06           236.79       
              975.E-06           234.753      
              976.E-06           232.377      
              977.E-06           231.893      
              978.E-06           233.303      
              979.E-06           233.849      
              980.E-06           233.324      
              981.E-06           233.326      
              982.E-06           233.841      
              983.E-06           233.526      
              984.E-06           233.058      
              985.E-06           233.157      
              986.E-06           233.107      
              987.E-06           232.874      
              988.E-06           232.882      
              989.E-06           232.751      
              990.E-06           232.632      
              991.E-06           232.59       
              992.E-06           232.431      
              993.E-06           232.444      
              994.E-06           232.408      
              995.E-06           232.34       
              996.E-06           232.289      
              997.E-06           232.188      
              998.E-06           232.151      
              999.E-06           232.129      
                1.E-03           232.169      




